Pixel, Red, Green, Blue, Fire
1385,246,170,112,0
1386,244,167,111,0
1387,240,163,107,0
1388,235,158,104,0
1389,232,155,103,0
1390,228,152,102,0
1391,226,150,101,0
1392,224,147,101,0
1393,222,145,103,0
1394,219,141,102,0
1395,215,137,99,0
1396,213,135,99,0
1397,209,131,95,0
1398,204,128,94,0
1399,202,126,94,0
1400,200,123,93,0
1401,198,121,93,0
1402,194,117,91,0
1403,192,115,89,0
1404,191,120,88,0
1405,196,123,91,0
1406,200,124,92,0
1407,204,125,92,0
1408,215,136,97,0
1409,220,138,98,0
1410,227,142,101,0
1411,235,146,102,0
1412,245,150,106,0
1413,251,154,109,0
1414,255,159,112,0
1415,255,163,114,0
1416,255,172,121,0
1417,255,174,123,0
1418,255,178,126,0
1419,255,183,130,0
1420,255,189,135,0
1421,255,193,139,0
1422,255,199,138,0
1423,255,191,132,0
1424,255,184,126,0
1425,250,175,117,0
1426,248,172,114,0
1427,245,168,112,0
1428,243,166,110,0
1429,240,163,109,0
1430,235,158,106,0
1431,232,154,105,0
1432,230,152,104,0
1433,227,150,104,0
1434,225,148,106,0
1435,222,144,105,0
1436,218,140,101,0
1437,215,137,99,0
1438,212,134,96,0
1439,209,131,95,0
1440,204,128,94,0
1441,201,124,96,0
1442,197,121,95,0
1443,195,118,92,0
1444,193,116,90,0
1445,191,113,90,0
1446,191,120,88,0
1447,196,121,90,0
1448,202,123,92,0
1449,205,125,92,0
1450,218,136,98,0
1451,223,140,98,0
1452,231,144,101,0
1453,239,148,104,0
1454,247,152,108,0
1455,254,156,109,0
1456,255,161,112,0
1457,255,164,114,0
1458,255,172,122,0
1459,255,175,122,0
1460,255,180,126,0
1461,255,184,131,0
1462,255,191,135,0
1463,255,195,132,0
1464,255,189,129,0
1465,250,178,119,0
1466,247,172,114,0
1467,244,169,112,0
1468,245,168,112,0
1469,242,165,111,0
1470,236,159,105,0
1471,232,154,105,0
1472,231,153,105,0
1473,231,153,107,0
1474,227,150,106,0
1475,224,147,105,0
1476,220,142,103,0
1477,217,139,100,0
1478,214,136,98,0
1479,211,133,97,0
1480,206,130,96,0
1481,201,124,94,0
1482,198,122,96,0
1483,196,119,93,0
1484,193,116,90,0
1485,191,113,90,0
1486,195,122,90,0
1487,199,124,93,0
1488,207,128,97,0
1489,214,131,97,0
1490,220,137,97,0
1491,223,136,93,0
1492,231,142,100,0
1493,243,150,106,0
1494,251,154,109,0
1495,255,158,111,0
1496,255,164,114,0
1497,255,169,117,0
1498,255,174,120,0
1499,255,179,124,0
1500,255,183,126,0
1501,255,189,130,0
1502,255,209,139,0
1503,255,202,134,0
1504,255,192,127,0
1505,253,183,123,0
1506,249,179,120,0
1507,243,170,115,0
1508,247,172,117,0
1509,244,167,113,0
1510,238,161,107,0
1511,242,162,113,0
1512,235,157,108,0
1513,231,153,105,0
1514,229,151,105,0
1515,224,147,103,0
1516,221,144,102,0
1517,218,140,101,0
1518,215,137,98,0
1519,211,133,95,0
1520,207,131,95,0
1521,202,126,94,0
1522,199,124,95,0
1523,195,120,91,0
1524,193,118,89,0
1525,195,121,92,0
1526,200,123,93,0
1527,207,128,97,0
1528,214,131,97,0
1529,221,136,97,0
1530,223,136,93,0
1531,233,142,98,0
1532,244,151,107,0
1533,252,155,110,0
1534,255,159,110,0
1535,255,164,115,0
1536,255,170,116,0
1537,255,176,122,0
1538,255,179,121,0
1539,255,184,125,0
1540,255,193,134,0
1541,255,204,133,0
1542,255,197,129,0
1543,255,187,126,0
1544,249,180,121,0
1545,247,174,119,0
1546,247,174,119,0
1547,246,169,115,0
1548,240,163,109,0
1549,242,162,113,0
1550,239,159,110,0
1551,232,154,106,0
1552,230,152,104,0
1553,225,148,104,0
1554,222,145,101,0
1555,219,141,102,0
1556,215,137,98,0
1557,212,134,96,0
1558,207,131,95,0
1559,202,126,94,0
1560,199,124,93,0
1561,196,121,92,0
1562,193,118,89,0
1563,195,121,92,0
1564,201,124,94,0
1565,208,129,98,0
1566,215,132,98,0
