RedMean,GreenMean,BlueMean,RedVariance,GreenVariance,BlueVariance,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,Fire
195.365,185.412,108.576,4.31099,7.6085,12.6745,0.346748,0.0861353,0.00182862,0.000773705,8.81662e-007,0.000178551,-2.6383e-007,0
206.248,152.965,114.474,11.2823,28.9399,15.1902,0,0,0,0,0,0,0,0
192.733,183.1,107.967,2.32283,6.15007,12.8153,0.168181,0.000773052,0.000361496,5.14418e-006,2.06186e-011,-5.38933e-008,2.20873e-010,0
192.733,183.1,107.967,2.32283,6.15007,12.8153,0.168181,0.000773052,0.000361496,5.14418e-006,2.06186e-011,-5.38933e-008,2.20873e-010,0
193.211,186.947,115.158,2.41876,4.6166,12.4489,0.180556,0.00482253,0,0,0,0,0,0
193.111,182.5,117.389,2.13148,7.00991,13.5652,0.179029,0.00341651,2.98571e-005,1.56422e-006,-2.20936e-012,6.42745e-008,-1.0459e-011,0
193.545,181.364,111.242,2.86135,7.066,12.3608,0.183811,0.00313771,0.000462533,1.45565e-005,1.04469e-009,-1.99445e-007,-5.79024e-010,0
194.271,182.854,112.438,3.35869,6.81294,12.5265,0.234815,0.0276497,0.000216043,5.04309e-005,4.37756e-009,4.81169e-006,2.92346e-009,0
195.082,184.274,110.425,4.12063,6.94846,10.8108,0.224667,0.0224427,0.000700392,0.000175682,6.05082e-008,2.50682e-005,1.16831e-008,0
195.082,184.274,110.425,4.12063,6.94846,10.8108,0.224667,0.0224427,0.000700392,0.000175682,6.05082e-008,2.50682e-005,1.16831e-008,0
196.042,184.679,105.848,4.05919,9.50151,12.7211,2.125,4.1684,0.125,0.0138889,-0.000578704,-0.0283565,5.83424e-011,0
228.261,156.197,19.8613,17.1801,22.0716,21.4406,1.91319,2.60418,0.277706,0.0116266,0.000366787,-0.0134616,0.000549482,0
208.312,152.763,108.001,14.2057,40.3272,18.1134,0.189675,0.00796339,0.000655188,4.96797e-005,6.83411e-009,3.5281e-006,-5.79911e-009,0
196.622,184.806,105.801,4.16409,9.2256,12.0013,2.23611,2.2936,2.0581,0.264942,0.156124,0.163794,-0.117902,0
196.339,185.736,105.099,4.5401,8.8591,12.8519,2.23611,2.2936,2.0581,0.264942,0.156124,0.163794,-0.117902,0
195.975,183.58,102.489,4.18039,9.71993,13.5266,0.166135,0.000382696,0.000143699,7.30785e-007,7.48879e-012,-1.42961e-008,-2.15654e-018,0
195.975,183.58,102.489,4.18039,9.71993,13.5266,0.166135,0.000382696,0.000143699,7.30785e-007,7.48879e-012,-1.42961e-008,-2.15654e-018,0
196.205,183.208,103.377,4.21279,10.0537,14.5845,0.195855,0.0111861,4.59353e-005,5.07787e-007,-1.41608e-012,-2.68342e-008,2.00227e-012,0
196.092,184.007,101.98,4.40799,9.83814,13.0308,1.91319,2.60418,0.277706,0.0116266,0.000366787,-0.0134616,-0.000549482,0
196.357,185.01,104.203,4.17903,9.72235,13.9037,0.205498,0.0109109,0.000909062,9.0181e-005,8.12385e-009,-6.66593e-007,-2.45095e-008,0
196.532,185.022,104.208,4.35206,10.13,12.454,0.231215,0.0234168,1.49825e-006,2.51488e-005,-1.54372e-010,3.8484e-006,3.15262e-017,0
196.532,185.022,104.208,4.35206,10.13,12.454,0.231215,0.0234168,1.49825e-006,2.51488e-005,-1.54372e-010,3.8484e-006,3.15262e-017,0
196.669,185.853,103.191,4.43967,10.115,13.0958,0.222222,0.0123457,0.00548696,0.000219481,-2.40858e-007,-2.43867e-005,-1.93429e-013,0
206.521,150.833,115.744,12.1645,12.1362,13.4694,0.202786,0.0101496,8.56638e-006,3.82234e-005,-6.91661e-010,3.85082e-006,6.37841e-016,0
197.091,186.752,104.978,4.2136,9.51663,12.525,7.333,49.3893,56.6568,48.0126,2503.26,328.954,66.5281,0
197.629,186.019,107.117,4.42856,10.4991,12.9119,0.267415,0.0434015,0.000591061,0.000182523,5.6419e-008,3.10669e-005,-2.02718e-008,0
197.372,185.97,107.532,4.32372,10.4269,13.3223,2.94271,6.50198,23.2727,18.3506,379.173,45.996,6.42351,0
197.375,184.632,109.334,4.44766,11.3481,12.3414,3.72428,10.0548,16.5185,6.28951,60.1694,15.5522,22.1233,0
197.375,184.632,109.334,4.44766,11.3481,12.3414,3.72428,10.0548,16.5185,6.28951,60.1694,15.5522,22.1233,0
197.498,185.103,112.159,4.6464,12.0705,12.7742,2.46129,4.14397,12.6039,8.53629,88.5405,17.3397,-0.712293,0
197.44,184.43,111.297,4.67116,11.8115,12.9448,2.48971,4.16468,8.24557,4.71192,29.2386,9.57471,2.77757,0
196.911,185.669,113.797,3.93438,10.0676,12.055,0.304085,0.0646804,0.000826593,0.00029,1.36435e-007,6.30791e-005,-3.93125e-008,0
196.402,183.271,110.745,4.54159,11.1506,13.153,0.230354,0.0252787,6.01814e-005,4.67496e-006,-7.204e-011,-7.43284e-007,-3.09698e-011,0
196.886,184.392,112.471,4.7909,11.8628,13.4692,2.94271,6.50198,23.2727,18.3506,379.173,45.996,6.42351,0
205.851,168.268,126.769,11.8596,16.1476,16.1898,0,0,0,0,0,0,0,0
196.886,184.392,112.471,4.7909,11.8628,13.4692,2.94271,6.50198,23.2727,18.3506,379.173,45.996,6.42351,0
196.552,184.858,112.651,4.15186,10.8366,11.8098,0.337914,0.0855125,0.000155986,6.84859e-005,7.06108e-009,1.98944e-005,-4.97141e-010,0
196.684,185.19,114.169,4.41266,10.1929,11.7563,2.83539,4.92635,5.75347,0.654644,-0.574392,-1.03388,-1.13324,0
196.718,185.853,116.073,4.28891,10.6305,12.3389,1.56379,1.81763,1.8214,1.11342,1.58462,1.48604,0.0552132,0
196.261,184.788,114.977,4.28955,10.1055,11.4658,0.231215,0.0234168,1.49825e-006,2.51488e-005,-1.54372e-010,3.8484e-006,1.60513e-016,0
196.261,184.788,114.977,4.28955,10.1055,11.4658,0.231215,0.0234168,1.49825e-006,2.51488e-005,-1.54372e-010,3.8484e-006,1.60513e-016,0
196.835,184.665,114.915,4.18752,10.7331,12.0302,0.231215,0.0234168,1.49825e-006,2.51488e-005,-1.54372e-010,3.8484e-006,1.60513e-016,0
196.358,184.175,112.596,4.25107,10.1503,11.8946,0.685303,0.371816,0.0020889,0.000316683,2.07447e-007,0.000142554,1.52671e-007,0
196.021,183.682,111.124,4.22485,9.82868,12.0762,0.231215,0.0234168,1.49825e-006,2.51488e-005,-1.54372e-010,3.8484e-006,1.60513e-016,0
196.336,184.56,112.474,4.30205,10.0213,12.6348,0.337914,0.0855125,0.000155986,6.84859e-005,7.06108e-009,1.98944e-005,-4.97141e-010,0
-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,-1.#IND,0,0,0,0,0,0,0,0
